Date,Open,High,Low,Close,Volume
2023-06-12,349.98204800024035,354.305355405067,349.00931208022024,354.20709228515625,44606500
2023-06-13,356.95821738485785,357.7639027940649,353.7550264155944,356.9287414550781,57097800
2023-06-14,356.93865987143437,359.8077812170539,354.1383556980209,359.5228271484375,69525600
2023-06-15,358.2552423852553,365.2904552167826,357.63624776639995,363.8067932128906,71138800
2023-06-16,366.2238882960813,366.35162733215435,361.07522551441866,361.5173645019531,80932000
2023-06-20,360.0651424498802,362.39702549677264,358.03827186745264,360.9998474121094,49204700
2023-06-21,359.8585372284782,360.2914640047926,355.1554054556322,356.0802917480469,53378300
2023-06-22,354.8307268599819,360.4390473507144,354.42731645188564,360.2816467285156,47603000
2023-06-23,356.3852508904645,359.0123275249367,355.017619254407,356.7099609375,48922900
2023-06-26,356.1786991600499,358.9730256828377,351.8396125090522,351.92816162109375,52685500
2023-06-27,353.4728819606406,358.70733796883354,352.74479154792726,357.9792175292969,49428100
2023-06-28,356.15902609665824,360.62599693384084,356.080295758173,358.6778564453125,46498000
2023-06-29,358.3825810596035,359.02215231347265,356.31637556095365,357.9595031738281,46151000
2023-06-30,361.63938600193586,364.53211002061613,361.3245547688206,363.4793395996094,58712500
2023-07-03,364.11886379574565,364.9650196119277,363.03654703228636,364.3353271484375,19432900
2023-07-05,362.77095217680977,366.0277217083489,362.73158700877076,364.3255310058594,34460900
2023-07-06,360.6161677546873,361.9936483701635,358.6581484968216,361.5508728027344,49374700
2023-07-07,361.3245946385069,364.52233147221807,360.12421222600994,360.3504943847656,47133700
2023-07-10,360.0749747976582,361.14744286263704,357.565993456182,360.4685363769531,48498800
2023-07-11,360.8916985434887,362.702106101561,358.75658086429127,362.24951171875,38214100
2023-07-12,366.3523845998162,368.17264069428137,364.3451814994598,366.8246765136719,61975400
2023-07-13,370.0027622919143,373.8794059139845,369.42225363123634,373.05291748046875,46960000
2023-07-14,373.48577863924965,376.70318269282194,372.0984493610609,372.9741516113281,55148500
2023-07-17,373.6924651000872,377.33297780937045,373.21035434589106,376.457275390625,40868900
2023-07-18,375.8177134466004,380.90458816742535,373.889240508332,379.53692626953125,55262000
2023-07-19,380.5995015032938,381.7408509867263,378.12000675325004,379.44830322265625,54093000
2023-07-20,376.4571954822207,377.9232550597698,369.67800988298177,370.7012939453125,71941700
2023-07-21,373.08240858363587,373.8105290801638,369.15658128362156,369.5895080566406,60499600
2023-07-24,370.5635223180503,371.50807603161047,368.32018848158145,370.1798095703125,40380100
2023-07-25,370.8883145604773,374.35169896231974,370.8686169614239,372.6888732910156,38894400
2023-07-26,371.6458314264261,373.14137727763733,369.1466691250998,371.44903564453125,47075700
2023-07-27,376.90988870145145,378.52350037664377,369.27466704180216,370.5635986328125,63940200
2023-07-28,374.6172742044875,378.3364864635538,374.1056471836481,377.313232421875,56902900
2023-07-31,377.6183175150778,378.690785724379,376.1916228179662,377.51007080078125,44019900
2023-08-01,376.1620464793932,377.3919451508952,374.56810260541835,376.63433837890625,41060600
2023-08-02,373.1611264871784,373.1611264871784,367.12969826236815,368.36944580078125,72687100
2023-08-03,365.95876640392834,369.9042904601288,365.79148699360036,367.7790222167969,47666400
2023-08-04,369.7075205928436,372.0197359751691,365.55538170207865,366.05718994140625,61702800
2023-08-07,367.86762374671235,369.2549530766585,365.53574062735606,369.15655517578125,37230400
2023-08-08,366.6475447598164,366.6672123277019,362.88896744301724,366.017822265625,44726500
2023-08-09,366.3031915996586,366.4606222337156,361.23601504991956,361.9936218261719,51150900
2023-08-10,365.0044211596802,368.33989085090377,361.13762681764416,362.6626892089844,72035300
2023-08-11,360.10451462832634,362.0822014786827,358.82543190557215,360.3504943847656,48707200
2023-08-14,359.5535144676342,364.5124746558894,358.83527281179767,364.3944091796875,42130800
2023-08-15,363.42031268537795,364.2173147115886,359.8585306581353,360.5276184082031,45539900
2023-08-16,359.98639761240037,361.5213086706915,356.6115630436462,356.7099609375,53190500
2023-08-17,358.10714866014956,358.45152631342546,352.40043050549747,352.81365966796875,62604300
2023-08-18,349.54703769092396,353.63029511668526,349.0058642803443,352.3708801269531,61191400
2023-08-21,353.83698416484816,358.7270633237007,353.37454098386434,358.04815673828125,50696500
2023-08-22,360.6555055081969,360.6653543070012,356.84774369729803,357.5364990234375,44530200
2023-08-23,358.7171345326046,364.26645146695137,358.5006711764388,363.1742858886719,51770600
2023-08-24,366.64752965497684,366.7458975171732,355.20454878191777,355.4111633300781,66842500
2023-08-25,356.24751390715073,359.8584793596251,352.813616618734,358.1661376953125,69960500
2023-08-28,361.08837318531505,361.7967959662991,358.39244511479126,360.8620910644531,40910000
2023-08-29,360.66532013496044,369.0975125611246,360.3406401002619,368.7432861328125,58492400
2023-08-30,368.85157266254214,371.38025178904996,367.847956029626,370.7997131347656,41731500
2023-08-31,370.87845704471937,373.61375086117255,370.8095755033072,371.91156005859375,35730700
2023-09-01,374.2827848655316,374.70586283279096,370.0322475419477,371.5179748535156,39801200
2023-09-05,370.7110913465371,373.21025361310325,369.78620523277215,371.9902038574219,32344200
2023-09-06,371.2129381611802,371.5573157971025,366.70660260739953,368.7137756347656,42998700
2023-09-07,364.25664812381336,366.854208721943,363.2136963758197,366.076904296875,52060700
2023-09-08,366.0277204788888,368.82204686376593,365.6243100816136,366.5885314941406,35800100
2023-09-11,369.618997042065,371.4195555120843,367.65115913843493,370.9079284667969,39936600
2023-09-12,369.23526587586855,370.88827258740463,366.5098211030943,366.795166015625,41391000
2023-09-13,367.0312741386667,369.79608390633206,365.899773384144,368.1922912597656,46300700
2023-09-14,369.94367941722965,372.18701344044155,367.8774736268473,371.2030944824219,48039400
2023-09-15,369.8650084704276,370.26841887845524,363.9122802858166,364.8470153808594,69811200
2023-09-18,363.9069691189676,366.3407681012067,363.6212111624308,365.2273254394531,36903500
2023-09-19,363.9069867992095,365.24703922410754,361.4239024926307,364.44891357421875,37621700
2023-09-20,365.513137164835,365.86784634626923,359.118238210128,359.19708251953125,45514200
2023-09-21,355.5118408271102,356.30013348758865,352.44743768219166,352.61492919921875,69734800
2023-09-22,354.359006723338,356.49718479026586,352.3488980230887,352.6642150878906,51589700
2023-09-25,351.698581571032,354.4280017936402,350.71323825781116,354.33929443359375,39168000
2023-09-26,351.75768571572956,352.29964255853133,348.03308934331926,349.0184326171875,53657700
2023-09-27,350.171286287333,351.74784148919474,346.21018720799054,349.8362731933594,56066000
2023-09-28,348.91986332461573,354.89107073347196,348.0626195587254,352.7627258300781,56453300
2023-09-29,356.24101262154477,357.6303502343073,351.78724181658674,353.0189208984375,64829600
2023-10-02,353.2850138058325,357.3643196460992,352.67410573890834,355.96514892578125,51625100
2023-10-03,353.52145870022036,355.7187850269011,348.1020706923418,349.7180480957031,60478500
2023-10-04,350.5554965698342,355.3245534661994,350.09238411965595,354.4771728515625,54786700
2023-10-05,354.46733754416096,354.87133184681437,349.934783079885,353.4327392578125,45897400
2023-10-06,350.4373013348461,360.54693213939856,349.6490388068552,359.35467529296875,75049100
2023-10-09,356.9898065431507,361.7293046269779,355.492095800062,361.1873779296875,45304800
2023-10-10,361.52245052391424,365.8382589863909,361.0199458890347,363.18768310546875,46968800
2023-10-11,364.51790605468614,365.9663619214004,362.7935552643259,365.7791442871094,38215100
2023-10-12,366.2816927049763,368.26221238194034,362.11367952755785,364.508056640625,49587900
2023-10-13,365.1386211851273,365.71997003976674,358.5269469460031,359.9261474609375,52469900
2023-10-16,361.2465200321077,365.0499604297053,361.0987245658137,363.9956359863281,44201100
2023-10-17,360.44842090151735,364.49819739696323,358.3299388750343,362.80340576171875,50999100
2023-10-18,360.31049708114347,362.5176564466025,356.7139699865063,358.044189453125,54280500
2023-10-19,359.4631196781683,360.65537676031266,353.89593553906946,354.6940612792969,72274200
